Jul  5 23:38:16 node7 kernel: imklog 5.8.6, log source = /proc/kmsg started.
Jul  5 23:38:16 node7 rsyslogd: [origin software="rsyslogd" swVersion="5.8.6" x-pid="962" x-info="http://www.rsyslog.com"] start
Jul  5 23:38:16 node7 rsyslogd: rsyslogd's groupid changed to 103
Jul  5 23:38:16 node7 rsyslogd: rsyslogd's userid changed to 101
Jul  5 23:38:16 node7 rsyslogd-2039: Could not open output pipe '/dev/xconsole' [try http://www.rsyslog.com/e/2039 ]
Jul  5 23:38:16 node7 kernel: [    0.000000] efi:  ACPI 2.0=0xdb890000  SMBIOS=0xdbb44b98  ACPI=0xdb890000  MPS=0xf4bd0 
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem00: type=3, attr=0xf, range=[0x0000000000000000-0x0000000000008000) (0MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem01: type=7, attr=0xf, range=[0x0000000000008000-0x000000000003f000) (0MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem02: type=4, attr=0xf, range=[0x000000000003f000-0x0000000000050000) (0MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem03: type=3, attr=0xf, range=[0x0000000000050000-0x00000000000a0000) (0MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem04: type=3, attr=0xf, range=[0x0000000000100000-0x0000000000110000) (0MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem05: type=2, attr=0xf, range=[0x0000000000110000-0x00000000005ff000) (4MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem06: type=7, attr=0xf, range=[0x00000000005ff000-0x0000000001000000) (10MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem07: type=2, attr=0xf, range=[0x0000000001000000-0x0000000001100000) (1MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem08: type=7, attr=0xf, range=[0x0000000001100000-0x0000000036242000) (849MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem09: type=2, attr=0xf, range=[0x0000000036242000-0x0000000036245000) (0MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem10: type=7, attr=0xf, range=[0x0000000036245000-0x0000000036248000) (0MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem11: type=2, attr=0xf, range=[0x0000000036248000-0x000000003711c000) (14MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem12: type=7, attr=0xf, range=[0x000000003711c000-0x0000000095c42000) (1515MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem13: type=2, attr=0xf, range=[0x0000000095c42000-0x00000000c8e7f000) (818MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem14: type=7, attr=0xf, range=[0x00000000c8e7f000-0x00000000c8e85000) (0MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem15: type=14, attr=0xf, range=[0x00000000c8e85000-0x00000000c9e85000) (16MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem16: type=1, attr=0xf, range=[0x00000000c9e85000-0x00000000c9ea3000) (0MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem17: type=7, attr=0xf, range=[0x00000000c9ea3000-0x00000000cc648000) (39MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem18: type=4, attr=0xf, range=[0x00000000cc648000-0x00000000cc73f000) (0MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem19: type=7, attr=0xf, range=[0x00000000cc73f000-0x00000000cc754000) (0MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem20: type=4, attr=0xf, range=[0x00000000cc754000-0x00000000cc7fc000) (0MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem21: type=7, attr=0xf, range=[0x00000000cc7fc000-0x00000000cc864000) (0MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem22: type=4, attr=0xf, range=[0x00000000cc864000-0x00000000cd18e000) (9MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem23: type=7, attr=0xf, range=[0x00000000cd18e000-0x00000000cd18f000) (0MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem24: type=4, attr=0xf, range=[0x00000000cd18f000-0x00000000cd191000) (0MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem25: type=7, attr=0xf, range=[0x00000000cd191000-0x00000000cd1c4000) (0MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem26: type=4, attr=0xf, range=[0x00000000cd1c4000-0x00000000cd1c5000) (0MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem27: type=7, attr=0xf, range=[0x00000000cd1c5000-0x00000000cd1c6000) (0MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem28: type=4, attr=0xf, range=[0x00000000cd1c6000-0x00000000cd1c7000) (0MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem29: type=7, attr=0xf, range=[0x00000000cd1c7000-0x00000000cd281000) (0MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem30: type=4, attr=0xf, range=[0x00000000cd281000-0x00000000cd296000) (0MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem31: type=7, attr=0xf, range=[0x00000000cd296000-0x00000000cd2e6000) (0MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem32: type=4, attr=0xf, range=[0x00000000cd2e6000-0x00000000cd2e7000) (0MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem33: type=7, attr=0xf, range=[0x00000000cd2e7000-0x00000000cd33e000) (0MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem34: type=4, attr=0xf, range=[0x00000000cd33e000-0x00000000cd3a3000) (0MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem35: type=7, attr=0xf, range=[0x00000000cd3a3000-0x00000000cd3a4000) (0MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem36: type=4, attr=0xf, range=[0x00000000cd3a4000-0x00000000cd3cd000) (0MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem37: type=7, attr=0xf, range=[0x00000000cd3cd000-0x00000000cd3ce000) (0MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem38: type=4, attr=0xf, range=[0x00000000cd3ce000-0x00000000cd3d0000) (0MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem39: type=7, attr=0xf, range=[0x00000000cd3d0000-0x00000000cd3d2000) (0MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem40: type=4, attr=0xf, range=[0x00000000cd3d2000-0x00000000cd3d3000) (0MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem41: type=7, attr=0xf, range=[0x00000000cd3d3000-0x00000000cd57d000) (1MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem42: type=4, attr=0xf, range=[0x00000000cd57d000-0x00000000cd57e000) (0MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem43: type=7, attr=0xf, range=[0x00000000cd57e000-0x00000000cd5de000) (0MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem44: type=4, attr=0xf, range=[0x00000000cd5de000-0x00000000cd5df000) (0MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem45: type=7, attr=0xf, range=[0x00000000cd5df000-0x00000000cd5e1000) (0MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem46: type=4, attr=0xf, range=[0x00000000cd5e1000-0x00000000cd60a000) (0MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem47: type=7, attr=0xf, range=[0x00000000cd60a000-0x00000000cd60c000) (0MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem48: type=4, attr=0xf, range=[0x00000000cd60c000-0x00000000cd60e000) (0MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem49: type=7, attr=0xf, range=[0x00000000cd60e000-0x00000000cd81f000) (2MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem50: type=4, attr=0xf, range=[0x00000000cd81f000-0x00000000cd820000) (0MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem51: type=7, attr=0xf, range=[0x00000000cd820000-0x00000000cd821000) (0MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem52: type=4, attr=0xf, range=[0x00000000cd821000-0x00000000cd84a000) (0MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem53: type=7, attr=0xf, range=[0x00000000cd84a000-0x00000000cd84d000) (0MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem54: type=4, attr=0xf, range=[0x00000000cd84d000-0x00000000cd84e000) (0MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem55: type=7, attr=0xf, range=[0x00000000cd84e000-0x00000000cd850000) (0MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem56: type=4, attr=0xf, range=[0x00000000cd850000-0x00000000cd851000) (0MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem57: type=7, attr=0xf, range=[0x00000000cd851000-0x00000000cda5f000) (2MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem58: type=4, attr=0xf, range=[0x00000000cda5f000-0x00000000cda60000) (0MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem59: type=7, attr=0xf, range=[0x00000000cda60000-0x00000000cda62000) (0MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem60: type=4, attr=0xf, range=[0x00000000cda62000-0x00000000cda8b000) (0MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem61: type=7, attr=0xf, range=[0x00000000cda8b000-0x00000000cda90000) (0MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem62: type=4, attr=0xf, range=[0x00000000cda90000-0x00000000cda92000) (0MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem63: type=7, attr=0xf, range=[0x00000000cda92000-0x00000000cdad7000) (0MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem64: type=4, attr=0xf, range=[0x00000000cdad7000-0x00000000cdad8000) (0MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem65: type=7, attr=0xf, range=[0x00000000cdad8000-0x00000000cdca1000) (1MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem66: type=4, attr=0xf, range=[0x00000000cdca1000-0x00000000cdca2000) (0MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem67: type=7, attr=0xf, range=[0x00000000cdca2000-0x00000000cdca5000) (0MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem68: type=4, attr=0xf, range=[0x00000000cdca5000-0x00000000cdcce000) (0MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem69: type=7, attr=0xf, range=[0x00000000cdcce000-0x00000000cdccf000) (0MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem70: type=4, attr=0xf, range=[0x00000000cdccf000-0x00000000cdcd0000) (0MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem71: type=7, attr=0xf, range=[0x00000000cdcd0000-0x00000000cdcd6000) (0MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem72: type=4, attr=0xf, range=[0x00000000cdcd6000-0x00000000cdcd7000) (0MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem73: type=7, attr=0xf, range=[0x00000000cdcd7000-0x00000000cdef5000) (2MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem74: type=4, attr=0xf, range=[0x00000000cdef5000-0x00000000cdef6000) (0MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem75: type=7, attr=0xf, range=[0x00000000cdef6000-0x00000000cdef9000) (0MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem76: type=4, attr=0xf, range=[0x00000000cdef9000-0x00000000cdf22000) (0MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem77: type=7, attr=0xf, range=[0x00000000cdf22000-0x00000000cdfc6000) (0MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem78: type=4, attr=0xf, range=[0x00000000cdfc6000-0x00000000ce077000) (0MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem79: type=7, attr=0xf, range=[0x00000000ce077000-0x00000000ce099000) (0MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem80: type=4, attr=0xf, range=[0x00000000ce099000-0x00000000ce20a000) (1MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem81: type=7, attr=0xf, range=[0x00000000ce20a000-0x00000000ce22a000) (0MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem82: type=4, attr=0xf, range=[0x00000000ce22a000-0x00000000ce27d000) (0MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem83: type=7, attr=0xf, range=[0x00000000ce27d000-0x00000000ce29b000) (0MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem84: type=4, attr=0xf, range=[0x00000000ce29b000-0x00000000ce2ab000) (0MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem85: type=7, attr=0xf, range=[0x00000000ce2ab000-0x00000000ce2b2000) (0MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem86: type=4, attr=0xf, range=[0x00000000ce2b2000-0x00000000ce546000) (2MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem87: type=7, attr=0xf, range=[0x00000000ce546000-0x00000000ce54a000) (0MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem88: type=4, attr=0xf, range=[0x00000000ce54a000-0x00000000da029000) (186MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem89: type=7, attr=0xf, range=[0x00000000da029000-0x00000000da76d000) (7MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem90: type=2, attr=0xf, range=[0x00000000da76d000-0x00000000da771000) (0MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem91: type=3, attr=0xf, range=[0x00000000da771000-0x00000000db574000) (14MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem92: type=0, attr=0xf, range=[0x00000000db574000-0x00000000db60d000) (0MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem93: type=0, attr=0xf, range=[0x00000000db60d000-0x00000000db871000) (2MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem94: type=9, attr=0xf, range=[0x00000000db871000-0x00000000db890000) (0MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem95: type=9, attr=0xf, range=[0x00000000db890000-0x00000000db90d000) (0MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem96: type=10, attr=0xf, range=[0x00000000db90d000-0x00000000db9da000) (0MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem97: type=10, attr=0xf, range=[0x00000000db9da000-0x00000000dba82000) (0MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem98: type=6, attr=0x800000000000000f, range=[0x00000000dba82000-0x00000000dbaa6000) (0MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem99: type=6, attr=0x800000000000000f, range=[0x00000000dbaa6000-0x00000000dbb38000) (0MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem100: type=6, attr=0x800000000000000f, range=[0x00000000dbb38000-0x00000000dbb3b000) (0MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem101: type=6, attr=0x800000000000000f, range=[0x00000000dbb3b000-0x00000000dbb46000) (0MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem102: type=5, attr=0x800000000000000f, range=[0x00000000dbb46000-0x00000000dbb4f000) (0MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem103: type=5, attr=0x800000000000000f, range=[0x00000000dbb4f000-0x00000000dbb73000) (0MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem104: type=4, attr=0xf, range=[0x00000000dbb73000-0x00000000dbb74000) (0MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem105: type=10, attr=0xf, range=[0x00000000dbb74000-0x00000000dbbf7000) (0MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem106: type=4, attr=0xf, range=[0x00000000dbbf7000-0x00000000dbd42000) (1MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem107: type=3, attr=0xf, range=[0x00000000dbd42000-0x00000000dbfda000) (2MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem108: type=4, attr=0xf, range=[0x00000000dbfda000-0x00000000dbfdf000) (0MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem109: type=3, attr=0xf, range=[0x00000000dbfdf000-0x00000000dbfe5000) (0MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem110: type=4, attr=0xf, range=[0x00000000dbfe5000-0x00000000dc000000) (0MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem111: type=7, attr=0xf, range=[0x0000000100000000-0x0000000120000000) (512MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem112: type=11, attr=0x8000000000000001, range=[0x00000000f0000000-0x00000000f8000000) (128MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem113: type=11, attr=0x8000000000000001, range=[0x00000000fed1c000-0x00000000fed20000) (0MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] efi: mem114: type=11, attr=0x8000000000000001, range=[0x00000000ff000000-0x0000000100000000) (16MB)
Jul  5 23:38:16 node7 kernel: [    0.000000] DMI 2.7 present.
Jul  5 23:38:16 node7 kernel: [    0.000000] DMI: Hewlett-Packard HP Z420 Workstation/1589, BIOS J61 v02.08 10/17/2012
Jul  5 23:38:16 node7 kernel: [    0.000000] e820: update [mem 0x00000000-0x0000ffff] usable ==> reserved
Jul  5 23:38:16 node7 kernel: [    0.000000] e820: remove [mem 0x000a0000-0x000fffff] usable
Jul  5 23:38:16 node7 kernel: [    0.000000] No AGP bridge found
Jul  5 23:38:16 node7 kernel: [    0.000000] e820: last_pfn = 0x120000 max_arch_pfn = 0x400000000
Jul  5 23:38:16 node7 kernel: [    0.000000] MTRR default type: write-back
Jul  5 23:38:16 node7 kernel: [    0.000000] MTRR fixed ranges enabled:
Jul  5 23:38:16 node7 kernel: [    0.000000]   00000-9FFFF write-back
Jul  5 23:38:16 node7 kernel: [    0.000000]   A0000-BFFFF uncachable
Jul  5 23:38:16 node7 kernel: [    0.000000]   C0000-DBFFF write-protect
Jul  5 23:38:16 node7 kernel: [    0.000000]   DC000-DFFFF uncachable
Jul  5 23:38:16 node7 kernel: [    0.000000]   E0000-FFFFF write-protect
Jul  5 23:38:16 node7 kernel: [    0.000000] MTRR variable ranges enabled:
Jul  5 23:38:16 node7 kernel: [    0.000000]   0 base 0000DC000000 mask 3FFFFC000000 uncachable
Jul  5 23:38:16 node7 kernel: [    0.000000]   1 base 0000E0000000 mask 3FFFE0000000 uncachable
Jul  5 23:38:16 node7 kernel: [    0.000000]   2 base 000120000000 mask 3FFFE0000000 uncachable
Jul  5 23:38:16 node7 kernel: [    0.000000]   3 disabled
Jul  5 23:38:16 node7 kernel: [    0.000000]   4 disabled
Jul  5 23:38:16 node7 kernel: [    0.000000]   5 disabled
Jul  5 23:38:16 node7 kernel: [    0.000000]   6 disabled
Jul  5 23:38:16 node7 kernel: [    0.000000]   7 disabled
Jul  5 23:38:16 node7 kernel: [    0.000000]   8 disabled
Jul  5 23:38:16 node7 kernel: [    0.000000]   9 disabled
Jul  5 23:38:16 node7 kernel: [    0.000000] x86 PAT enabled: cpu 0, old 0x7040600070406, new 0x7010600070106
Jul  5 23:38:16 node7 kernel: [    0.000000] e820: last_pfn = 0xdc000 max_arch_pfn = 0x400000000
Jul  5 23:38:16 node7 kernel: [    0.000000] found SMP MP-table at [mem 0x000f4bc0-0x000f4bcf] mapped at [ffff8800000f4bc0]
Jul  5 23:38:16 node7 kernel: [    0.000000] initial memory mapped: [mem 0x00000000-0x1fffffff]
Jul  5 23:38:16 node7 kernel: [    0.000000] Base memory trampoline at [ffff880000090000] 90000 size 24576
Jul  5 23:38:16 node7 kernel: [    0.000000] Using GB pages for direct mapping
Jul  5 23:38:16 node7 kernel: [    0.000000] init_memory_mapping: [mem 0x00000000-0xdbffffff]
Jul  5 23:38:16 node7 kernel: [    0.000000]  [mem 0x00000000-0xbfffffff] page 1G
Jul  5 23:38:16 node7 kernel: [    0.000000]  [mem 0xc0000000-0xdbffffff] page 2M
Jul  5 23:38:16 node7 kernel: [    0.000000] kernel direct mapping tables up to 0xdbffffff @ [mem 0x1fffe000-0x1fffffff]
Jul  5 23:38:16 node7 kernel: [    0.000000] init_memory_mapping: [mem 0x100000000-0x11fffffff]
Jul  5 23:38:16 node7 kernel: [    0.000000]  [mem 0x100000000-0x11fffffff] page 2M
Jul  5 23:38:16 node7 kernel: [    0.000000] kernel direct mapping tables up to 0x11fffffff @ [mem 0xda76f000-0xda770fff]
Jul  5 23:38:16 node7 kernel: [    0.000000] RAMDISK: [mem 0x36248000-0x3711bfff]
Jul  5 23:38:16 node7 kernel: [    0.000000] ACPI: RSDP 00000000db890000 00024 (v02 HPQOEM)
Jul  5 23:38:16 node7 kernel: [    0.000000] ACPI: XSDT 00000000db890078 0006C (v01 HPQOEM SLIC-WKS 01072009 AMI  00010013)
Jul  5 23:38:16 node7 kernel: [    0.000000] ACPI: FACP 00000000db897048 000F4 (v04 HPQOEM SLIC-WKS 01072009 AMI  00010013)
Jul  5 23:38:16 node7 kernel: [    0.000000] ACPI: DSDT 00000000db890170 06ED6 (v02 HPQOEM SLIC-WKS 00000208 INTL 20051117)
Jul  5 23:38:16 node7 kernel: [    0.000000] ACPI: FACS 00000000dba7ff80 00040
Jul  5 23:38:16 node7 kernel: [    0.000000] ACPI: APIC 00000000db897140 000C8 (v03 HPQOEM SLIC-WKS 01072009 AMI  00010013)
Jul  5 23:38:16 node7 kernel: [    0.000000] ACPI: MCFG 00000000db897208 0003C (v01 HPQOEM OEMMCFG. 01072009 MSFT 00000097)
Jul  5 23:38:16 node7 kernel: [    0.000000] ACPI: HPET 00000000db897248 00038 (v01 HPQOEM SLIC-WKS 01072009 AMI. 00000005)
Jul  5 23:38:16 node7 kernel: [    0.000000] ACPI: SSDT 00000000db897280 05913 (v01 COMPAQ      WMI 00000001 MSFT 03000001)
Jul  5 23:38:16 node7 kernel: [    0.000000] ACPI: SLIC 00000000db89cb98 00176 (v01 HPQOEM SLIC-WKS 00000001      00000000)
Jul  5 23:38:16 node7 kernel: [    0.000000] ACPI: SSDT 00000000db89cd10 017C9 (v02 HPQOEM   CpuDef 00004000 INTL 20051117)
Jul  5 23:38:16 node7 kernel: [    0.000000] ACPI: SSDT 00000000db89e4e0 6E284 (v02  INTEL    CpuPm 00004000 INTL 20051117)
Jul  5 23:38:16 node7 kernel: [    0.000000] ACPI: ASF! 00000000db90c768 000A5 (v32 INTEL       HCG 00000001 TFSM 000F4240)
Jul  5 23:38:16 node7 kernel: [    0.000000] ACPI: Local APIC address 0xfee00000
Jul  5 23:38:16 node7 kernel: [    0.000000] No NUMA configuration found
Jul  5 23:38:16 node7 kernel: [    0.000000] Faking a node at [mem 0x0000000000000000-0x000000011fffffff]
Jul  5 23:38:16 node7 kernel: [    0.000000] Initmem setup node 0 [mem 0x00000000-0x11fffffff]
Jul  5 23:38:16 node7 kernel: [    0.000000]   NODE_DATA [mem 0x11fffc000-0x11fffffff]
Jul  5 23:38:16 node7 kernel: [    0.000000]  [ffffea0000000000-ffffea00047fffff] PMD -> [ffff88011b600000-ffff88011f5fffff] on node 0
Jul  5 23:38:16 node7 kernel: [    0.000000] Zone ranges:
Jul  5 23:38:16 node7 kernel: [    0.000000]   DMA      [mem 0x00010000-0x00ffffff]
